level,req_id,status,ok,total_s,ttfb_s,resp_bytes,error
50,50,200,1,6.737600,6.323930,146444,
100,1,200,1,11.649059,11.285339,146444,
100,2,200,1,2.189853,1.777412,146444,
100,3,200,1,19.476889,19.046419,156044,
100,4,200,1,28.593371,28.154077,146444,
100,5,200,1,16.287764,15.883221,146444,
100,6,200,1,25.823765,25.423528,146444,
100,7,200,1,14.828622,14.460631,146444,
100,8,200,1,25.407690,24.999927,146444,
100,9,200,1,2.020585,1.615958,146444,
100,10,200,1,20.890034,20.487721,146444,
100,11,200,1,25.524217,25.157797,146444,
100,12,200,1,20.301913,19.957658,146444,
100,13,200,1,10.344436,9.989501,156044,
100,14,200,1,10.288142,9.877373,146444,
100,15,200,1,19.466347,19.034375,146444,
100,16,200,1,13.897477,13.469497,146444,
100,17,200,1,17.006683,16.662400,146444,
100,18,200,1,6.850780,6.372028,146444,
100,19,200,1,12.178228,11.815651,146444,
100,20,200,1,6.500920,6.150747,146444,
100,21,200,1,6.673855,6.326181,146444,
100,22,200,1,14.862074,14.453746,146444,
100,23,200,1,5.657105,5.306433,146444,
100,24,200,1,2.799807,2.400005,146444,
100,25,200,1,2.534902,2.188754,146444,
100,26,200,1,20.566436,20.206336,146444,
100,27,200,1,7.117484,6.721779,146444,
100,28,200,1,12.775368,12.402046,146444,
100,29,200,1,5.819147,5.316713,146444,
100,30,200,1,2.183471,1.754754,146444,
100,31,200,1,25.304996,24.889753,146444,
100,32,200,1,13.759849,13.405679,146444,
100,33,200,1,12.692067,12.280456,146444,
100,34,200,1,12.134038,11.726564,146444,
100,35,200,1,20.481022,20.000140,146444,
100,36,200,1,24.072709,23.626070,146444,
100,37,200,1,25.172545,24.766068,146444,
100,38,200,1,16.941305,16.569585,146444,
100,39,200,1,23.934051,23.625003,146444,
100,40,200,1,24.069198,23.625672,146444,
100,41,200,1,1.056791,0.693545,146444,
100,42,200,1,11.451632,11.125611,146444,
100,43,200,1,14.814116,14.449003,146444,
100,44,200,1,3.562066,3.153477,146444,
100,45,200,1,15.800853,15.439193,146444,
100,46,200,1,10.293474,9.986742,146444,
100,47,200,1,5.656098,5.291345,146444,
100,48,200,1,16.664321,16.298722,146444,
100,49,200,1,2.415559,2.054536,146444,
100,50,200,1,16.291641,15.906080,146444,
100,51,200,1,8.014423,7.664951,146444,
100,52,200,1,12.727181,12.361706,146444,
100,53,200,1,11.635066,11.173806,146444,
100,54,200,1,19.424812,18.923132,146444,
100,55,200,1,17.333907,16.923084,146444,
100,56,200,1,11.812620,11.442942,146444,
100,57,200,1,20.737305,20.054057,146444,
100,58,200,1,20.736678,20.319535,146444,
100,59,200,1,1.076571,0.707872,146444,
100,60,200,1,1.064361,0.708036,146444,
100,61,200,1,15.725399,15.437922,146444,
100,62,200,1,28.497068,28.135098,146444,
100,63,200,1,17.023154,16.623380,146444,
100,64,200,1,3.192958,2.798566,146444,
100,65,200,1,1.058942,0.694413,146444,
100,66,200,1,10.297734,9.985581,146444,
100,67,200,1,5.818845,5.308919,146444,
100,68,200,1,7.114489,6.727326,146444,
100,69,200,1,7.320098,6.878095,146444,
100,70,200,1,15.882015,15.483903,146444,
100,71,200,1,24.991437,24.540164,146444,
100,72,200,1,2.932078,2.645572,146444,
100,73,200,1,17.331113,16.877321,146444,
100,74,200,1,20.494013,20.086688,146444,
100,75,200,1,24.785516,24.478540,146444,
100,76,200,1,23.917500,23.622405,156044,
100,77,200,1,13.811341,13.448110,146444,
100,78,200,1,28.597164,28.157166,142844,
100,79,200,1,18.441624,18.031076,146444,
100,80,200,1,25.030593,24.665198,146444,
100,81,200,1,6.852266,6.441399,146444,
100,82,200,1,7.537494,7.140107,146444,
100,83,200,1,26.360177,25.960614,146444,
100,84,200,1,16.098743,15.699924,146444,
100,85,200,1,21.291632,20.884954,146444,
100,86,200,1,6.864588,6.502700,146444,
100,87,200,1,2.387956,1.976501,146444,
100,88,200,1,11.250104,10.841139,146444,
100,89,200,1,16.289538,15.851136,146444,
100,90,200,1,15.877280,15.501474,146444,
100,91,200,1,11.394695,11.036389,146444,
100,92,200,1,20.923401,20.566632,146444,
100,93,200,1,12.797350,12.390616,146444,
100,94,200,1,2.064676,1.710797,146444,
100,95,200,1,21.806483,21.401424,146444,
100,96,200,1,14.881815,14.521592,146444,
100,97,200,1,28.595447,28.133130,146444,
100,98,200,1,3.191183,2.842681,146444,
100,99,200,1,11.122791,10.725852,146444,
100,100,200,1,19.458513,19.027570,146444,
